timestamp,longitude,latitude,bike_count,location_name,is_in_boundary,weekday,hour,is_peak,id
2024-05-01 00:00:00,119.517816,39.913239,16,第四体育场,1,2,0,0,1
2024-05-01 00:00:00,119.517939,39.916532,16,西北门,1,2,0,0,2
2024-05-01 00:00:00,119.521364,39.917036,18,信息科学与工程学院,1,2,0,0,3
2024-05-01 00:00:00,119.521864,39.917012,18,理学院,1,2,0,0,4
2024-05-01 00:00:00,119.522728,39.918136,18,理学院北侧,1,2,0,0,5
2024-05-01 00:00:00,119.522482,39.916512,18,西里西亚学院,1,2,0,0,6
2024-05-01 00:00:00,119.520487,39.914483,18,西区第五教学楼,1,2,0,0,7
2024-05-01 00:00:00,119.51965,39.913924,18,艺术学院,1,2,0,0,8
2024-05-01 00:00:00,119.520105,39.913824,18,继续教育学院,1,2,0,0,9
2024-05-01 00:00:00,119.522175,39.911633,18,西区第一教学楼北侧,1,2,0,0,10
2024-05-01 00:00:00,119.522085,39.911128,18,西区第一教学楼,1,2,0,0,11
2024-05-01 00:00:00,119.522642,39.910663,18,西区第二教学楼,1,2,0,0,12
2024-05-01 00:00:00,119.523274,39.910163,18,西区第三教学楼,1,2,0,0,13
2024-05-01 00:00:00,119.522709,39.910029,18,电气工程学院东,1,2,0,0,14
2024-05-01 00:00:00,119.521177,39.909753,18,电气工程学院西,1,2,0,0,15
2024-05-01 00:00:00,119.522369,39.909221,18,材料学院 C 楼,1,2,0,0,16
2024-05-01 00:00:00,119.52317,39.908501,18,材料学院 A 楼,1,2,0,0,17
2024-05-01 00:00:00,119.523088,39.904547,13,1 组图,1,2,0,0,18
2024-05-01 00:00:00,119.523105,39.905732,13,2 组图,1,2,0,0,19
2024-05-01 00:00:00,119.523138,39.906529,13,3 组图,1,2,0,0,20
2024-05-01 00:00:00,119.521776,39.905351,13,4 组图,1,2,0,0,21
2024-05-01 00:00:00,119.521967,39.907251,16,西区大食堂东侧,1,2,0,0,22
2024-05-01 00:00:00,119.520043,39.907417,16,西区大食堂西侧,1,2,0,0,23
2024-05-01 00:00:00,119.519858,39.908508,15,西区浴池,1,2,0,0,24
2024-05-01 00:00:00,119.518344,39.908269,15,西区超市,1,2,0,0,25
2024-05-01 00:00:00,119.518084,39.909318,13,10 组图,1,2,0,0,26
2024-05-01 00:00:00,119.517912,39.910224,13,11 组图,1,2,0,0,27
2024-05-01 00:00:00,119.517918,39.911057,15,燕园餐厅,1,2,0,0,28
2024-05-01 00:00:00,119.516213,39.910156,13,12 组图,1,2,0,0,29
2024-05-01 00:00:00,119.525995,39.906156,18,里仁教学楼西侧,1,2,0,0,30
